"LBDFOTSI.Code.or.Value","LBDFOTSI.Value.Description","LBDFOTSI.Count","LBDFOTSI.Cumulative","LBDFOTSI.Skip.to.Item"
"3.06 to 316","Range of Values",7459,7459,NA
".","Missing",1497,8956,NA
