"LBDINSI.Code.or.Value","LBDINSI.Value.Description","LBDINSI.Count","LBDINSI.Cumulative","LBDINSI.Skip.to.Item"
"4.26 to 2910.6","Range of Values",2825,2825,NA
".","Missing",211,3036,NA
