"BIXS083K.Code.or.Value","BIXS083K.Value.Description","BIXS083K.Count","BIXS083K.Cumulative","BIXS083K.Skip.to.Item"
"253.87 to 912.67","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
