"URDUCSLC.Code.or.Value","URDUCSLC.Value.Description","URDUCSLC.Count","URDUCSLC.Cumulative","URDUCSLC.Skip.to.Item"
"0","At or above the detection limit",3060,3060,NA
"1","Below lower detection limit",1,3061,NA
".","Missing",218,3279,NA
