"RFXT027.Code.or.Value","RFXT027.Value.Description","RFXT027.Count","RFXT027.Cumulative","RFXT027.Skip.to.Item"
"221 to 230","Range of Values",51068,51068,NA
".","Missing",8,51076,NA
