"DS2TCALC.Code.or.Value","DS2TCALC.Value.Description","DS2TCALC.Count","DS2TCALC.Cumulative","DS2TCALC.Skip.to.Item"
"2 to 3254","Range of Values",1897,1897,NA
".","Missing",8356,10253,NA
