"LBXSHBG.Code.or.Value","LBXSHBG.Value.Description","LBXSHBG.Count","LBXSHBG.Cumulative","LBXSHBG.Skip.to.Item"
"4.81 to 1031","Range of Values",6959,6959,NA
".","Missing",1062,8021,NA
