"DS2IPOTA.Code.or.Value","DS2IPOTA.Value.Description","DS2IPOTA.Count","DS2IPOTA.Cumulative","DS2IPOTA.Skip.to.Item"
"0.05 to 960","Range of Values",739,739,NA
".","Missing",4787,5526,NA
