"PAQ625.Code.or.Value","PAQ625.Value.Description","PAQ625.Count","PAQ625.Cumulative","PAQ625.Skip.to.Item"
"1 to 7","Range of Values",2063,2063,""
"77","Refused",0,2063,"PAQ635"
"99","Don't know",2,2065,"PAQ635"
".","Missing",7042,9107,""
