"BPXPLS.Code.or.Value","BPXPLS.Value.Description","BPXPLS.Count","BPXPLS.Cumulative","BPXPLS.Skip.to.Item"
"40 to 126","Range of Values",7836,7836,NA
".","Missing",2417,10253,NA
