"WBXA048.Code.or.Value","WBXA048.Value.Description","WBXA048.Count","WBXA048.Cumulative","WBXA048.Skip.to.Item"
"-96.5769 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
