"SMD100TR.Code.or.Value","SMD100TR.Value.Description","SMD100TR.Count","SMD100TR.Cumulative","SMD100TR.Skip.to.Item"
"1 to 24","Range of Values",895,895,NA
".","Missing",3985,4880,NA
