"BPQ100C.Code.or.Value","BPQ100C.Value.Description","BPQ100C.Count","BPQ100C.Cumulative","BPQ100C.Skip.to.Item"
"1","Yes",518,518,NA
"2","No",224,742,NA
"7","Refused",0,742,NA
"9","Don't know",0,742,NA
".","Missing",5302,6044,NA
