"DUQ400U.Code.or.Value","DUQ400U.Value.Description","DUQ400U.Count","DUQ400U.Cumulative","DUQ400U.Skip.to.Item"
"1","Days",8,8,NA
"2","Weeks",0,8,NA
"3","Months",3,11,NA
"4","Years",58,69,NA
"7","Refused",0,69,NA
"9","Don't know",4,73,NA
".","Missing",3212,3285,NA
