"DR1ISFAT.Code.or.Value","DR1ISFAT.Value.Description","DR1ISFAT.Count","DR1ISFAT.Cumulative","DR1ISFAT.Skip.to.Item"
"0 to 81.512","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
