"OCQ440.Code.or.Value","OCQ440.Value.Description","OCQ440.Count","OCQ440.Cumulative","OCQ440.Skip.to.Item"
"1 to 24","Range of Values",866,866,NA
"7777","Refused",0,866,NA
"9999","Don't know",5,871,NA
".","Missing",5342,6213,NA
