"LBXMC.Code.or.Value","LBXMC.Value.Description","LBXMC.Count","LBXMC.Cumulative","LBXMC.Skip.to.Item"
"27.8 to 44.9","Range of Values",8952,8952,NA
".","Missing",977,9929,NA
