"INQ080.Code.or.Value","INQ080.Value.Description","INQ080.Count","INQ080.Cumulative","INQ080.Skip.to.Item"
"1","Yes",929,929,NA
"2","No",8669,9598,NA
"7","Refused",34,9632,NA
"9","Don't know",10,9642,NA
".","Missing",329,9971,NA
