"LBCPDE.Code.or.Value","LBCPDE.Value.Description","LBCPDE.Count","LBCPDE.Cumulative","LBCPDE.Skip.to.Item"
"105.3 to 35960","Range of Values",250,250,NA
".","Missing",1,251,NA
