"LBCF02LA.Code.or.Value","LBCF02LA.Value.Description","LBCF02LA.Count","LBCF02LA.Cumulative","LBCF02LA.Skip.to.Item"
"0.136 to 1.3","Range of Values",246,246,NA
".","Missing",18,264,NA
