"DR1ICALC.Code.or.Value","DR1ICALC.Value.Description","DR1ICALC.Count","DR1ICALC.Cumulative","DR1ICALC.Skip.to.Item"
"0 to 4761","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
