"DXDRLTOT.Code.or.Value","DXDRLTOT.Value.Description","DXDRLTOT.Count","DXDRLTOT.Cumulative","DXDRLTOT.Skip.to.Item"
"2779.5 to 39329.3","Range of Values",4646,4646,NA
".","Missing",1046,5692,NA
