"WTSPP38.Code.or.Value","WTSPP38.Value.Description","WTSPP38.Count","WTSPP38.Cumulative","WTSPP38.Skip.to.Item"
"0 to 848428.5911","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
