"BIXC128K.Code.or.Value","BIXC128K.Value.Description","BIXC128K.Count","BIXC128K.Cumulative","BIXC128K.Skip.to.Item"
"30.37 to 117.88","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
