"BMXWT.Code.or.Value","BMXWT.Value.Description","BMXWT.Count","BMXWT.Cumulative","BMXWT.Skip.to.Item"
"3.6 to 216.1","Range of Values",9243,9243,NA
".","Missing",95,9338,NA
