"AUXU2KR.Code.or.Value","AUXU2KR.Value.Description","AUXU2KR.Count","AUXU2KR.Cumulative","AUXU2KR.Skip.to.Item"
"-10 to 65","Range of Values",1136,1136,NA
"666","No response",0,1136,NA
"888","Could not obtain",4,1140,NA
".","Missing",70,1210,NA
