"LBCBR1.Code.or.Value","LBCBR1.Value.Description","LBCBR1.Count","LBCBR1.Cumulative","LBCBR1.Skip.to.Item"
"0.7071 to 11.74","Range of Values",284,284,NA
".","Missing",0,284,NA
