"DSQTVB6.Code.or.Value","DSQTVB6.Value.Description","DSQTVB6.Count","DSQTVB6.Cumulative","DSQTVB6.Skip.to.Item"
"0.001 to 10010","Range of Values",2670,2670,NA
".","Missing",7505,10175,NA
