"SSINHBIN.Code.or.Value","SSINHBIN.Value.Description","SSINHBIN.Count","SSINHBIN.Cumulative","SSINHBIN.Skip.to.Item"
"11.228 to 505.221","Range of Values",499,499,NA
".","Missing",23,522,NA
