"DS2IMFAT.Code.or.Value","DS2IMFAT.Value.Description","DS2IMFAT.Count","DS2IMFAT.Cumulative","DS2IMFAT.Skip.to.Item"
"0.025 to 3","Range of Values",78,78,NA
".","Missing",5520,5598,NA
