"DRD370JQ.Code.or.Value","DRD370JQ.Value.Description","DRD370JQ.Count","DRD370JQ.Cumulative","DRD370JQ.Skip.to.Item"
"1 to 3","Range of Values",24,24,NA
".","Missing",9926,9950,NA
