"LBXBR3LA.Code.or.Value","LBXBR3LA.Value.Description","LBXBR3LA.Count","LBXBR3LA.Cumulative","LBXBR3LA.Skip.to.Item"
"1.1 to 2350","Range of Values",2016,2016,NA
".","Missing",321,2337,NA
