"DXXHEBMD.Code.or.Value","DXXHEBMD.Value.Description","DXXHEBMD.Count","DXXHEBMD.Cumulative","DXXHEBMD.Skip.to.Item"
"0.9 to 3.786","Range of Values",4725,4725,NA
".","Missing",967,5692,NA
