"DBQ197.Code.or.Value","DBQ197.Value.Description","DBQ197.Count","DBQ197.Cumulative","DBQ197.Skip.to.Item"
"0","Never",932,932,"DBD225"
"1","Rarely-less than once a week",987,1919,""
"2","Sometimes-once a week or more, but less than once a day, or",2117,4036,""
"3","Often-once a day or more?",5735,9771,""
"4","Varied",50,9821,""
"7","Refused",1,9822,"DBD225"
"9","Don't know",0,9822,"DBD225"
".","Missing",526,10348,""
