"SMQ666N.Code.or.Value","SMQ666N.Value.Description","SMQ666N.Count","SMQ666N.Cumulative","SMQ666N.Skip.to.Item"
"1","Regulars",100,100,NA
"2","Lights",8,108,NA
"3","Ultralights",1,109,NA
"7","Refused",0,109,NA
"9","Don't know",2,111,NA
".","Missing",7334,7445,NA
