"TYXP038.Code.or.Value","TYXP038.Value.Description","TYXP038.Count","TYXP038.Cumulative","TYXP038.Skip.to.Item"
"-19 to 178","Range of Values",8469,8469,NA
".","Missing",0,8469,NA
