"SMD100NI.Code.or.Value","SMD100NI.Value.Description","SMD100NI.Count","SMD100NI.Cumulative","SMD100NI.Skip.to.Item"
"0.5 to 2","Range of Values",752,752,NA
".","Missing",6249,7001,NA
