"VIXKLM2.Code.or.Value","VIXKLM2.Value.Description","VIXKLM2.Count","VIXKLM2.Cumulative","VIXKLM2.Skip.to.Item"
"4.95 to 9.22","Range of Values",6441,6441,NA
"88","Could not obtain",63,6504,NA
".","Missing",413,6917,NA
