"CIQP13J.Code.or.Value","CIQP13J.Value.Description","CIQP13J.Count","CIQP13J.Cumulative","CIQP13J.Skip.to.Item"
"1","Yes",29,29,NA
"2","No",89,118,NA
"7","Refused",0,118,NA
"9","Don't know",0,118,NA
".","Missing",810,928,NA
