"DR2IPOTA.Code.or.Value","DR2IPOTA.Value.Description","DR2IPOTA.Count","DR2IPOTA.Cumulative","DR2IPOTA.Skip.to.Item"
"0 to 7063","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
