"RIDEXAGM.Code.or.Value","RIDEXAGM.Value.Description","RIDEXAGM.Count","RIDEXAGM.Cumulative","RIDEXAGM.Skip.to.Item"
"0 to 239","Range of Values",4009,4009,NA
".","Missing",5747,9756,NA
