"DIQ300D.Code.or.Value","DIQ300D.Value.Description","DIQ300D.Count","DIQ300D.Cumulative","DIQ300D.Skip.to.Item"
"17 to 251","Range of Values",515,515,NA
"7777","Refused",2,517,NA
"9999","Don't know",328,845,NA
".","Missing",8730,9575,NA
