"LBXPFSA.Code.or.Value","LBXPFSA.Value.Description","LBXPFSA.Count","LBXPFSA.Cumulative","LBXPFSA.Skip.to.Item"
"0.07 to 0.2","Range of Values",2100,2100,NA
".","Missing",194,2294,NA
