"WBXF008.Code.or.Value","WBXF008.Value.Description","WBXF008.Count","WBXF008.Cumulative","WBXF008.Skip.to.Item"
"385.5527 to 385.5527","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
