"LBDHDD.Code.or.Value","LBDHDD.Value.Description","LBDHDD.Count","LBDHDD.Cumulative","LBDHDD.Skip.to.Item"
"7 to 155","Range of Values",7387,7387,NA
".","Missing",745,8132,NA
