"AUDTYR50.Code.or.Value","AUDTYR50.Value.Description","AUDTYR50.Count","AUDTYR50.Cumulative","AUDTYR50.Skip.to.Item"
"0 to 5.22","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
