"RFXT042.Code.or.Value","RFXT042.Value.Description","RFXT042.Count","RFXT042.Cumulative","RFXT042.Skip.to.Item"
"354 to 363","Range of Values",33703,33703,NA
".","Missing",18,33721,NA
