"LBXFB.Code.or.Value","LBXFB.Value.Description","LBXFB.Count","LBXFB.Cumulative","LBXFB.Skip.to.Item"
"124 to 993","Range of Values",2680,2680,NA
".","Missing",5664,8344,NA
