"BPXSY1.Code.or.Value","BPXSY1.Value.Description","BPXSY1.Count","BPXSY1.Cumulative","BPXSY1.Skip.to.Item"
"72 to 232","Range of Values",7529,7529,NA
".","Missing",2724,10253,NA
