"DR2TSELE.Code.or.Value","DR2TSELE.Value.Description","DR2TSELE.Count","DR2TSELE.Cumulative","DR2TSELE.Skip.to.Item"
"0 to 1458.4","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
