"CIQG17D.Code.or.Value","CIQG17D.Value.Description","CIQG17D.Count","CIQG17D.Cumulative","CIQG17D.Skip.to.Item"
"1","Yes",69,69,NA
"2","No",10,79,NA
"7","Refused",0,79,NA
"9","Don't know",1,80,NA
".","Missing",848,928,NA
