"LBXGLY.Code.or.Value","LBXGLY.Value.Description","LBXGLY.Count","LBXGLY.Cumulative","LBXGLY.Skip.to.Item"
"7.69 to 456","Range of Values",2254,2254,NA
".","Missing",351,2605,NA
