"OPDDD500.Code.or.Value","OPDDD500.Value.Description","OPDDD500.Count","OPDDD500.Cumulative","OPDDD500.Skip.to.Item"
"0","No",2260,2260,NA
"1","Yes",83,2343,NA
".","Missing",591,2934,NA
