"OSQ120i.Code.or.Value","OSQ120i.Value.Description","OSQ120i.Count","OSQ120i.Cumulative","OSQ120i.Skip.to.Item"
"1","Yes",4,4,""
"2","No",0,4,"OSQ060"
"7","Refused",0,4,"OSQ060"
"9","Don't know",0,4,"OSQ060"
".","Missing",5931,5935,""
