"DXAFMRD0.Code.or.Value","DXAFMRD0.Value.Description","DXAFMRD0.Count","DXAFMRD0.Cumulative","DXAFMRD0.Skip.to.Item"
"41.0319 to 57.6299","Range of Values",6425,6425,NA
".","Missing",1295,7720,NA
