"LBXOXY.Code.or.Value","LBXOXY.Value.Description","LBXOXY.Count","LBXOXY.Cumulative","LBXOXY.Skip.to.Item"
"0.02 to 3.206","Range of Values",2249,2249,NA
".","Missing",298,2547,NA
