"DXXPT63X.Code.or.Value","DXXPT63X.Value.Description","DXXPT63X.Count","DXXPT63X.Cumulative","DXXPT63X.Skip.to.Item"
"696.1 to 1234.4","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
