"DR2ICAFF.Code.or.Value","DR2ICAFF.Value.Description","DR2ICAFF.Count","DR2ICAFF.Cumulative","DR2ICAFF.Skip.to.Item"
"0 to 1526","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
