"BPQ090C.Code.or.Value","BPQ090C.Value.Description","BPQ090C.Count","BPQ090C.Cumulative","BPQ090C.Skip.to.Item"
"1","Yes",742,742,NA
"2","No",421,1163,NA
"7","Refused",0,1163,NA
"9","Don't know",3,1166,NA
".","Missing",4878,6044,NA
