"DR1IP225.Code.or.Value","DR1IP225.Value.Description","DR1IP225.Count","DR1IP225.Cumulative","DR1IP225.Skip.to.Item"
"0 to 0.524","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
