"DR1IGRMS.Code.or.Value","DR1IGRMS.Value.Description","DR1IGRMS.Count","DR1IGRMS.Cumulative","DR1IGRMS.Skip.to.Item"
"0.01 to 9000","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
