"BIXS200K.Code.or.Value","BIXS200K.Value.Description","BIXS200K.Count","BIXS200K.Cumulative","BIXS200K.Skip.to.Item"
"133.77 to 885.66","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
