"DBQ223D.Code.or.Value","DBQ223D.Value.Description","DBQ223D.Count","DBQ223D.Cumulative","DBQ223D.Skip.to.Item"
"13","Skim, nonfat, or 0.5% fat milk (includes liquid or 
      reconstituted from dry),",856,856,NA
".","Missing",8900,9756,NA
