"BIXC200K.Code.or.Value","BIXC200K.Value.Description","BIXC200K.Count","BIXC200K.Cumulative","BIXC200K.Skip.to.Item"
"8.5 to 188.15","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
